,year,team_1,seed_1,round_1,current_round,score_1,team_2,seed_2,round_2,score_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff,prediction,win probability
0,2024,Connecticut,1,1,64,,Stetson,16,64,,33.493,93.553,127.046,11.3,0.971,58.255,33.643,91.17647059,1.23,122.708,78.369,-5.725,127.046,93.553,-6.8,0.356,19.778,12.662,61.29032258,1.112,111.41,77.673,39.218,-33.49300000000001,33.49300000000001,18.1,0.615,38.477000000000004,20.981,29.886148009999992,0.11799999999999988,11.298000000000002,0.695999999999998,1,0.8991965
1,2024,Florida Atlantic,8,1,64,,Northwestern,9,64,,14.274,102.99,117.264,1.2,0.816,21.565,20.437,75.75757576,1.173,117.369,76.544,17.988,117.264,102.99,1.5,0.872,35.529,30.87,65.625,1.122,112.16,77.579,-3.7140000000000004,-14.274000000000001,14.274000000000001,-0.30000000000000004,-0.05600000000000005,-13.964000000000002,-10.433,10.132575759999995,0.050999999999999934,5.209000000000003,-1.0349999999999966,0,0.32774353
2,2024,San Diego St.,5,1,64,,UAB,12,64,,17.67,93.866,111.536,2.6,0.879,43.201,30.359,68.75,1.086,108.712,77.576,6.447,111.536,93.866,-2.7,0.663,21.521,17.731,66.66666667,1.111,111.082,77.086,11.223000000000003,-17.67,17.67,5.300000000000001,0.21599999999999997,21.68,12.628,2.083333330000002,-0.02499999999999991,-2.3699999999999903,0.4899999999999949,1,0.77654064
3,2024,Auburn,4,1,64,,Yale,13,64,,28.605,92.05,120.655,5.5,0.957,43.053,28.032,79.41176471,1.174,117.364,77.688,9.732,120.655,92.05,-2.5,0.744,9.096,16.194,68.96551724,1.102,110.425,78.197,18.873,-28.605000000000004,28.605000000000004,8.0,0.21299999999999997,33.956999999999994,11.838000000000001,10.446247470000003,0.07199999999999984,6.939000000000007,-0.5090000000000003,1,0.9191291
4,2024,BYU,6,1,64,,Duquesne,11,64,,21.656,98.979,120.635,2.9,0.907,19.483,30.879,69.6969697,1.169,116.926,78.499,10.179,120.635,98.979,-1.8,0.761,0.2,19.651,67.64705882,1.048,104.828,76.501,11.476999999999999,-21.656000000000006,21.656000000000006,4.7,0.14600000000000002,19.283,11.228000000000002,2.0499108799999988,0.121,12.097999999999999,1.9979999999999905,1,0.86512023
5,2024,Illinois,3,1,64,,Morehead St.,14,64,,24.236,101.087,125.323,6.0,0.922,56.834,32.635,76.47058824,1.188,118.858,78.785,3.291,125.323,101.087,-3.4,0.589,16.078,11.774,73.33333333,1.102,110.583,78.094,20.945,-24.23599999999999,24.23599999999999,9.4,0.3330000000000001,40.756,20.860999999999997,3.137254909999996,0.08599999999999985,8.275000000000006,0.6910000000000025,1,0.8250303
6,2024,Washington St.,7,1,64,,Drake,10,64,,16.17,96.623,112.793,1.9,0.856,30.424,25.215,72.72727273,1.106,110.65,79.296,14.693,112.793,96.623,1.7,0.828,15.682,16.549,81.81818182,1.14,114.237,76.36,1.477000000000002,-16.17,16.17,0.19999999999999996,0.028000000000000025,14.741999999999999,8.666,-9.090909090000011,-0.03399999999999981,-3.586999999999989,2.936000000000007,1,0.7285271
7,2024,Iowa St.,2,1,64,,South Dakota St.,15,64,,27.105,86.545,113.65,6.9,0.958,44.201,33.017,79.41176471,1.108,110.446,77.594,3.102,113.65,86.545,-7.4,0.583,7.614,9.978,61.29032258,1.099,110.141,77.088,24.003,-27.105000000000004,27.105000000000004,14.3,0.375,36.587,23.039,18.12144213,0.009000000000000119,0.3049999999999926,0.5060000000000002,1,0.95935404
8,2024,North Carolina,1,1,64,,Howard,16,64,,23.59,93.194,116.784,6.6,0.931,88.407,30.665,79.41176471,1.136,113.459,77.172,-8.407,116.784,93.194,-12.1,0.291,31.316,8.38,50.0,1.064,106.37,76.439,31.997,-23.590000000000003,23.590000000000003,18.7,0.6400000000000001,57.090999999999994,22.284999999999997,29.41176471,0.07199999999999984,7.088999999999999,0.7330000000000041,1,0.91387147
9,2024,Mississippi St.,8,1,64,,Michigan St.,9,64,,17.693,94.93,112.623,0.8,0.877,43.205,32.154,61.76470588,1.081,108.114,76.879,19.451,112.623,94.93,0.21,0.898,67.335,34.196,57.57575758,1.097,109.535,77.257,-1.7579999999999991,-17.692999999999998,17.692999999999998,0.5900000000000001,-0.02100000000000002,-24.129999999999995,-2.0419999999999945,4.1889483,-0.016000000000000014,-1.4209999999999923,-0.3780000000000001,1,0.52604246
